,value
a0,0.106
a1,0.0
a2,0.0
b0,-0.25
b1,1.0
b2,1.2000000000000002
gm,37000.0
t_ini,1.1364446338091856
t_end,1.6367394183896846
NN,512.0
umbral_FF,1.0
