,value
a0,0.202
a1,0.0
a2,0.0
b0,-0.4
b1,1.0
b2,1.2000000000000002
gm,37000.0
t_ini,3.096079277827028
t_end,3.349888801636552
NN,512.0
umbral_FF,1.0
