,time,alpha,beta
0,0.0,0.17800000000000002,0.4093289854226869
1,2.2677992804762178e-05,0.17799092880287812,0.4093599459898094
2,4.5355985609524356e-05,0.17798185760575622,0.4093906314923163
3,6.803397841428654e-05,0.17797278640863431,0.409421043038275
4,9.071197121904871e-05,0.1779637152115124,0.4094511817328574
5,0.00011338996402381089,0.17795464401439048,0.40948104867834284
6,0.00013606795682857308,0.17794557281726858,0.40951064497412637
7,0.00015874594963333525,0.17793650162014668,0.40953997171671996
8,0.00018142394243809743,0.17792743042302478,0.40956902999976014
9,0.0002041019352428596,0.17791835922590288,0.40959782091401054
10,0.00022677992804762177,0.17790928802878098,0.40962634554736793
11,0.00024945792085238395,0.17790021683165907,0.4096546049848671
12,0.00027213591365714615,0.17789114563453717,0.40968260030868364
13,0.0002948139064619083,0.17788207443741524,0.40971033259814194
14,0.0003174918992666705,0.17787300324029334,0.4097378029297167
15,0.00034016989207143265,0.17786393204317144,0.4097650123770407
16,0.00036284788487619485,0.17785486084604954,0.40979196201090623
17,0.00038552587768095705,0.17784578964892764,0.40981865289927305
18,0.0004082038704857192,0.17783671845180574,0.40984508610727105
19,0.0004308818632904814,0.17782764725468383,0.40987126269720714
20,0.00045355985609524355,0.17781857605756193,0.40989718372856443
21,0.00047623784890000575,0.17780950486044,0.4099228502580166
22,0.0004989158417047679,0.1778004336633181,0.4099482633394221
23,0.00052159383450953,0.1777913624661962,0.40997342402383763
24,0.0005442718273142923,0.1777822912690743,0.4099983333595169
25,0.0005669498201190545,0.1777732200719524,0.41002299239191814
26,0.0005896278129238166,0.1777641488748305,0.41004740216370905
27,0.0006123058057285789,0.1777550776777086,0.41007156371476955
28,0.000634983798533341,0.1777460064805867,0.4100954780821987
29,0.0006576617913381031,0.1777369352834648,0.41011914630031804
30,0.0006803397841428653,0.17772786408634286,0.41014256940067767
31,0.0007030177769476276,0.17771879288922096,0.4101657484120579
32,0.0007256957697523897,0.17770972169209906,0.410188684360478
33,0.0007483737625571518,0.17770065049497716,0.41021137826919934
34,0.0007710517553619141,0.17769157929785526,0.41023383115872897
35,0.0007937297481666763,0.17768250810073336,0.41025604404682503
36,0.0008164077409714384,0.17767343690361145,0.4102780179485014
37,0.0008390857337762005,0.17766436570648955,0.4102997538760344
38,0.0008617637265809628,0.17765529450936762,0.41032125283896403
39,0.000884441719385725,0.17764622331224572,0.410342515844102
40,0.0009071197121904871,0.17763715211512382,0.4103635438955328
41,0.0009297977049952494,0.17762808091800192,0.41038433799462193
42,0.0009524756978000115,0.17761900972088002,0.4104048991400196
43,0.0009751536906047737,0.17760993852375812,0.4104252283276645
44,0.0009978316834095358,0.1776008673266362,0.4104453265507876
