,value
a0,0.25
a1,-0.7999999999999998
a2,0.0
b0,-0.55
b1,1.0
b2,2.0
gm,37000.0
t_ini,2.298511949898053
t_end,2.514475668718915
NN,512.0
umbral_FF,1.0
