,time,alpha,beta
0,0.0,0.106,0.6479847351922208
1,2.2676764780187605e-05,0.106,0.6479190971697182
2,4.535352956037521e-05,0.106,0.6478535665946031
3,6.803029434056281e-05,0.106,0.647788143307984
4,9.070705912075042e-05,0.106,0.647722827151137
5,0.00011338382390093803,0.106,0.6476576179655027
6,0.00013606058868112562,0.106,0.6475925155926887
7,0.00015873735346131325,0.106,0.6475275198744703
8,0.00018141411824150084,0.106,0.6474626306527863
9,0.00020409088302168844,0.106,0.6473978477697426
10,0.00022676764780187606,0.106,0.6473331710676105
11,0.00024944441258206365,0.106,0.6472686003888262
12,0.00027212117736225125,0.106,0.647204135575992
13,0.00029479794214243884,0.106,0.6471397764718736
14,0.0003174747069226265,0.106,0.6470755229194034
15,0.0003401514717028141,0.106,0.6470113747616776
16,0.0003628282364830017,0.106,0.6469473318419567
17,0.0003855050012631893,0.106,0.6468833940036653
18,0.00040818176604337687,0.106,0.6468195610903933
19,0.0004308585308235645,0.106,0.6467558329458938
20,0.0004535352956037521,0.106,0.6466922094140832
21,0.0004762120603839397,0.106,0.6466286903390424
22,0.0004988888251641273,0.106,0.6465652755650153
23,0.000521565589944315,0.106,0.6465019649364091
24,0.0005442423547245025,0.106,0.6464387582977942
25,0.0005669191195046901,0.106,0.646375655493904
26,0.0005895958842848777,0.106,0.6463126563696341
27,0.0006122726490650653,0.106,0.6462497607700437
28,0.000634949413845253,0.106,0.6461869685403536
29,0.0006576261786254405,0.106,0.6461242795259468
30,0.0006803029434056282,0.106,0.6460616935723689
31,0.0007029797081858157,0.106,0.6459992105253267
32,0.0007256564729660034,0.106,0.64593683023069
33,0.000748333237746191,0.106,0.6458745525344882
34,0.0007710100025263786,0.106,0.6458123772829139
35,0.0007936867673065662,0.106,0.6457503043223196
36,0.0008163635320867537,0.106,0.6456883334992198
37,0.0008390402968669414,0.106,0.645626464660289
38,0.000861717061647129,0.106,0.6455646976523632
39,0.0008843938264273166,0.106,0.6455030323224386
40,0.0009070705912075042,0.106,0.6454414685176717
41,0.0009297473559876918,0.106,0.6453800060853792
42,0.0009524241207678794,0.106,0.6453186448730375
43,0.0009751008855480671,0.106,0.6452573847282835
44,0.0009977776503282546,0.106,0.6451962254989133
45,0.0010204544151084423,0.106,0.6451351670328828
46,0.00104313117988863,0.106,0.6450742091783073
47,0.0010658079446688173,0.106,0.6450133517834603
48,0.001088484709449005,0.106,0.644952594696776
49,0.0011111614742291926,0.106,0.6448919377668463
50,0.0011338382390093803,0.106,0.6448313808424215
51,0.001156515003789568,0.106,0.6447709237724117
52,0.0011791917685697554,0.106,0.6447105664058841
