,time,alpha,beta
0,0.0,0.13,0.8925035181935316
1,2.2677319247192748e-05,0.13,0.8923931506241007
2,4.5354638494385496e-05,0.13,0.8922827687969095
3,6.803195774157824e-05,0.13,0.8921723729666243
4,9.070927698877099e-05,0.13,0.8920619633872926
5,0.00011338659623596375,0.13,0.8919515403123406
6,0.00013606391548315647,0.13,0.8918411039945751
7,0.00015874123473034923,0.13,0.891730654686184
8,0.00018141855397754198,0.13,0.8916201926387372
9,0.00020409587322473474,0.13,0.8915097181031877
10,0.0002267731924719275,0.13,0.8913992313298733
11,0.0002494505117191202,0.13,0.8912887325685146
12,0.00027212783096631295,0.13,0.8911782220682205
13,0.00029480515021350573,0.13,0.891067700077484
14,0.00031748246946069846,0.13,0.8909571668441865
15,0.00034015978870789124,0.13,0.8908466226155991
16,0.00036283710795508397,0.13,0.8907360676383798
17,0.0003855144272022767,0.13,0.8906255021585784
18,0.0004081917464494695,0.13,0.8905149264216341
19,0.0004308690656966622,0.13,0.8904043406723811
20,0.000453546384943855,0.13,0.8902937451550428
21,0.0004762237041910477,0.13,0.890183140113238
22,0.0004989010234382404,0.13,0.8900725257899802
23,0.0005215783426854332,0.13,0.889961902427677
24,0.0005442556619326259,0.13,0.8898512702681346
25,0.0005669329811798187,0.13,0.8897406295525538
26,0.0005896103004270115,0.13,0.8896299805215354
27,0.0006122876196742042,0.13,0.889519323415078
28,0.0006349649389213969,0.13,0.8894086584725812
29,0.0006576422581685896,0.13,0.8892979859328431
30,0.0006803195774157825,0.13,0.8891873060340661
31,0.0007029968966629752,0.13,0.8890766190138526
32,0.0007256742159101679,0.13,0.8889659251092108
33,0.0007483515351573607,0.13,0.8888552245565501
34,0.0007710288544045534,0.13,0.8887445175916875
35,0.0007937061736517462,0.13,0.8886338044498452
36,0.000816383492898939,0.13,0.8885230853656518
37,0.0008390608121461317,0.13,0.8884123605731438
38,0.0008617381313933244,0.13,0.8883016303057656
39,0.0008844154506405171,0.13,0.8881908947963733
40,0.00090709276988771,0.13,0.8880801542772297
41,0.0009297700891349027,0.13,0.8879694089800126
42,0.0009524474083820954,0.13,0.8878586591358087
43,0.0009751247276292882,0.13,0.887747904975119
44,0.0009978020468764809,0.13,0.8876371467278581
45,0.0010204793661236736,0.13,0.8875263846233564
46,0.0010431566853708663,0.13,0.8874156188903569
47,0.001065834004618059,0.13,0.8873048497570223
48,0.0010885113238652518,0.13,0.88719407745093
49,0.0011111886431124447,0.13,0.8870833021990763
50,0.0011338659623596375,0.13,0.8869725242278765
51,0.0011565432816068302,0.13,0.8868617437631667
52,0.001179220600854023,0.13,0.8867509610302011
53,0.0012018979201012157,0.13,0.8866401762536589
54,0.0012245752393484084,0.13,0.8865293896576385
55,0.001247252558595601,0.13,0.8864186014656638
56,0.0012699298778427938,0.13,0.8863078119006806
57,0.0012926071970899866,0.13,0.8861970211850628
58,0.0013152845163371793,0.13,0.8860862295406068
59,0.0013379618355843722,0.13,0.8859754371885377
60,0.001360639154831565,0.13,0.885864644349507
61,0.0013833164740787577,0.13,0.8857538512435963
62,0.0014059937933259504,0.13,0.8856430580903143
63,0.0014286711125731431,0.13,0.8855322651086017
64,0.0014513484318203359,0.13,0.8854214725168281
65,0.0014740257510675286,0.13,0.8853106805327969
66,0.0014967030703147213,0.13,0.8851998893737428
67,0.001519380389561914,0.13,0.8850890992563353
68,0.0015420577088091068,0.13,0.884978310396676
69,0.0015647350280562995,0.13,0.8848675230103044
70,0.0015874123473034925,0.13,0.8847567373121946
71,0.0016100896665506852,0.13,0.8846459535167575
72,0.001632766985797878,0.13,0.8845351718378416
73,0.0016554443050450706,0.13,0.8844243924887351
74,0.0016781216242922634,0.13,0.8843136156821646
75,0.001700798943539456,0.13,0.8842028416302974
76,0.0017234762627866488,0.13,0.8840920705447419
77,0.0017461535820338416,0.13,0.8839813026365476
78,0.0017688309012810343,0.13,0.8838705381162086
79,0.001791508220528227,0.13,0.8837597771936612
80,0.00181418553977542,0.13,0.8836490200782866
81,0.0018368628590226127,0.13,0.883538266978911
82,0.0018595401782698054,0.13,0.8834275181038079
83,0.0018822174975169981,0.13,0.8833167736606965
84,0.0019048948167641909,0.13,0.8832060338567445
85,0.0019275721360113836,0.13,0.883095298898568
86,0.0019502494552585763,0.13,0.882984568992232
87,0.0019729267745057693,0.13,0.8828738443432541
88,0.0019956040937529618,0.13,0.8827631251566006
89,0.0020182814130001547,0.13,0.8826524116366914
90,0.0020409587322473472,0.13,0.882541703987398
91,0.00206363605149454,0.13,0.8824310024120462
92,0.0020863133707417327,0.13,0.8823203071134171
93,0.0021089906899889256,0.13,0.882209618293746
94,0.002131668009236118,0.13,0.8820989361547253
95,0.002154345328483311,0.13,0.8819882608975026
96,0.0021770226477305036,0.13,0.8818775927226864
97,0.0021996999669776965,0.13,0.8817669318303402
98,0.0022223772862248895,0.13,0.881656278419991
99,0.002245054605472082,0.13,0.881545632690622
100,0.002267731924719275,0.13,0.8814349948406812
101,0.0022904092439664674,0.13,0.8813243650680765
102,0.0023130865632136604,0.13,0.8812137435701782
103,0.002335763882460853,0.13,0.8811031305438228
104,0.002358441201708046,0.13,0.880992526185308
105,0.0023811185209552384,0.13,0.8808819306903991
106,0.0024037958402024313,0.13,0.8807713442543262
107,0.0024264731594496242,0.13,0.8806607670717878
108,0.0024491504786968168,0.13,0.8805501993369483
109,0.0024718277979440097,0.13,0.8804396412434411
110,0.002494505117191202,0.13,0.8803290929843707
111,0.002517182436438395,0.13,0.8802185547523098
112,0.0025398597556855877,0.13,0.8801080267393022
113,0.0025625370749327806,0.13,0.879997509136865
114,0.002585214394179973,0.13,0.879887002135987
115,0.002607891713427166,0.13,0.8797765059271299
116,0.0026305690326743586,0.13,0.8796660207002308
117,0.0026532463519215515,0.13,0.8795555466447011
118,0.0026759236711687445,0.13,0.8794450839494284
119,0.002698600990415937,0.13,0.8793346328027773
120,0.00272127830966313,0.13,0.8792241933925892
121,0.0027439556289103224,0.13,0.8791137659061842
122,0.0027666329481575154,0.13,0.8790033505303616
123,0.002789310267404708,0.13,0.8788929474514008
124,0.002811987586651901,0.13,0.8787825568550613
125,0.0028346649058990933,0.13,0.8786721789265854
126,0.0028573422251462863,0.13,0.8785618138506964
127,0.002880019544393479,0.13,0.8784514618116014
128,0.0029026968636406717,0.13,0.8783411229929918
129,0.0029253741828878647,0.13,0.8782307975780435
130,0.002948051502135057,0.13,0.8781204857494173
131,0.00297072882138225,0.13,0.8780101876892619
132,0.0029934061406294427,0.13,0.8778999035792118
133,0.0030160834598766356,0.13,0.8777896336003898
134,0.003038760779123828,0.13,0.8776793779334079
135,0.003061438098371021,0.13,0.8775691367583682
136,0.0030841154176182136,0.13,0.8774589102548619
137,0.0031067927368654065,0.13,0.8773486986019724
