name,value
c,3.50E+04
ancho,2.00E-01
largo,3.5
s1overCH,4.50E+10
s1overLB,1.00E-04
s1overLG,1.00E-01
RB,5.00E+06
r,1.00E-01
rdis,6.00E+05
