alpha,beta,gamma,fundamental,msf,SCI,amplitud
-0.05,-1.5,10000.0,1999.24528302,2364.79853941,1.18284562655,3925.87274572
-0.05,-1.495,10000.0,1999.24528302,2469.00265598,1.2349673534,3943.84006211
-0.05,-1.49,10000.0,1999.24528302,2600.66282812,1.30082229039,3958.45941863
-0.05,-1.485,10000.0,1999.24528302,2736.9385426,1.36898586974,3950.82193385
-0.05,-1.48,10000.0,1999.24528302,2809.01427146,1.4050373385,3961.8754003
-0.05,-1.475,10000.0,1999.24528302,2777.28588539,1.38916715672,3951.30801341
-0.05,-1.47,10000.0,1999.24528302,2651.32550226,1.3261631900700002,3943.22491579
-0.05,-1.465,10000.0,1999.24528302,2449.28326473,1.22510393574,3931.34885942
-0.05,-1.46,10000.0,1943.71069182,2296.5968977,1.18155284496,3975.5323544
-0.05,-1.455,10000.0,1943.71069182,2459.87271751,1.26555496549,3964.90324067
-0.05,-1.45,10000.0,1943.71069182,2686.75378442,1.38228070449,3940.20762945
-0.05,-1.445,10000.0,1943.71069182,2844.23454057,1.46330138149,3965.3078028
-0.05,-1.44,10000.0,1943.71069182,2855.62439732,1.4691612333700002,3976.29911189
-0.05,-1.435,10000.0,1943.71069182,2711.13858669,1.3948261940900002,3936.39276464
-0.05,-1.43,10000.0,1943.71069182,2497.84503532,1.28509095815,3941.32289141
-0.05,-1.425,10000.0,1943.71069182,2324.96953206,1.19614999385,3962.56585619
-0.05,-1.42,10000.0,1943.71069182,2348.97268998,1.20849913511,3934.59444838
-0.05,-1.415,10000.0,1943.71069182,2435.06050888,1.25278958392,3960.87168611
-0.05,-1.41,10000.0,1943.71069182,2540.31868318,1.3069427944499998,3967.78293602
-0.05,-1.405,10000.0,1943.71069182,2674.66814102,1.37606288439,3941.67455521
-0.05,-1.4,10000.0,1943.71069182,2778.53622279,1.4295009203100002,3972.65683787
-0.05,-1.395,10000.0,1943.71069182,2780.95860193,1.4307471855899998,3939.72414757
-0.05,-1.39,10000.0,1943.71069182,2680.82809469,1.37923205648,3940.03706334
-0.05,-1.385,10000.0,1943.71069182,2491.5520335,1.28185333547,3930.9003512
-0.05,-1.38,10000.0,1943.71069182,2293.67588802,1.1800500443100002,3941.44112923
-0.05,-1.375,10000.0,1943.71069182,2379.06977931,1.22398348134,3974.32027606
-0.05,-1.37,10000.0,1888.17610063,2613.83410589,1.3843169103900002,3918.87630215
-0.05,-1.365,10000.0,1888.17610063,2784.79226077,1.4748583354299998,3963.10152282
-0.05,-1.36,10000.0,1888.17610063,2817.98744229,1.4924388892299998,3910.10230047
-0.05,-1.355,10000.0,1888.17610063,2684.91854107,1.42196405313,3913.21064011
-0.05,-1.35,10000.0,1888.17610063,2470.19418995,1.3082435420799998,3951.9056165
-0.05,-1.345,10000.0,1888.17610063,2306.0460467,1.22130877831,3924.35362649
-0.05,-1.34,10000.0,1888.17610063,2346.52021251,1.24274436676,3931.35597097
-0.05,-1.335,10000.0,1888.17610063,2436.66298547,1.29048502661,3911.07246551
-0.05,-1.33,10000.0,1888.17610063,2522.49403049,1.33594214525,3934.74972157
-0.05,-1.325,10000.0,1888.17610063,2646.35225282,1.4015388988,3922.15714197
-0.05,-1.32,10000.0,1888.17610063,2742.24097382,1.4523226795,3930.43510381
-0.05,-1.315,10000.0,1888.17610063,2747.07471353,1.4548826841999998,3922.08405051
-0.05,-1.31,10000.0,1888.17610063,2647.7355,1.4022714825799998,3894.50195771
-0.05,-1.305,10000.0,1888.17610063,2456.12061934,1.30079001557,3909.6057053
-0.05,-1.3,10000.0,1888.17610063,2273.86927136,1.20426758426,3895.95609394
-0.05,-1.295,10000.0,1888.17610063,2410.80244656,1.27678898476,3913.0761693
-0.05,-1.29,10000.0,1888.17610063,2640.06748111,1.39821041069,3885.45660863
-0.05,-1.285,10000.0,1832.64150943,2776.28146948,1.5149070100100002,3887.70777112
-0.05,-1.28,10000.0,1832.64150943,2754.658909,1.50310843382,3899.49996469
-0.05,-1.275,10000.0,1832.64150943,2574.83565783,1.40498599676,3854.29211701
-0.05,-1.27,10000.0,1832.64150943,2348.04831466,1.28123711188,3870.04642859
-0.05,-1.265,10000.0,1832.64150943,2270.71724135,1.23904060323,3860.11723442
-0.05,-1.26,10000.0,1832.64150943,2370.7132284000004,1.29360445903,3871.08437014
-0.05,-1.255,10000.0,1832.64150943,2451.15443766,1.33749804588,3852.77622664
-0.05,-1.25,10000.0,1832.64150943,2526.27670366,1.37848929573,3851.57524284
-0.05,-1.245,10000.0,1832.64150943,2636.20329913,1.43847189183,3857.81417128
-0.05,-1.24,10000.0,1832.64150943,2699.98205022,1.4732734341799998,3851.38381839
-0.05,-1.235,10000.0,1832.64150943,2672.2479258000008,1.4581400192200002,3837.76976848
-0.05,-1.23,10000.0,1832.64150943,2537.66497724,1.38470342627,3833.31360334
-0.05,-1.225,10000.0,1832.64150943,2329.73923548,1.2712465714,3828.53174642
-0.05,-1.22,10000.0,1832.64150943,2330.89439426,1.2718768958700002,3819.35381935
-0.05,-1.215,10000.0,1832.64150943,2566.86493929,1.40063669085,3839.40136765
-0.05,-1.21,10000.0,1832.64150943,2737.44940035,1.4937178855000002,3804.70901382
-0.05,-1.205,10000.0,1832.64150943,2758.28445594,1.50508675141,3789.41790862
-0.05,-1.2,10000.0,1777.10691824,2589.03787599,1.4568835726299998,3793.52509281
-0.05,-1.195,10000.0,1777.10691824,2350.65041388,1.32274000498,3796.53815582
-0.05,-1.19,10000.0,1777.10691824,2220.18364103,1.24932474138,3778.10876307
-0.05,-1.185,10000.0,1777.10691824,2324.47649353,1.3080116169,3781.12187121
-0.05,-1.18,10000.0,1777.10691824,2400.88945739,1.35101013493,3768.2856858000014
-0.05,-1.175,10000.0,1777.10691824,2454.83436993,1.38136560313,3731.59319919
-0.05,-1.17,10000.0,1777.10691824,2547.92082901,1.43374650273,3754.62983242
-0.05,-1.165,10000.0,1777.10691824,2626.38677252,1.47790025775,3740.52937822
-0.05,-1.16,10000.0,1777.10691824,2630.04122782,1.47995666486,3726.59413738
-0.05,-1.155,10000.0,1777.10691824,2519.55443151,1.4177843807,3728.10331281
-0.05,-1.15,10000.0,1777.10691824,2325.23466389,1.30843824872,3704.42889734
-0.05,-1.145,10000.0,1777.10691824,2350.06076517,1.32240820237,3701.78300788
-0.05,-1.14,10000.0,1777.10691824,2592.52069733,1.45884339919,3698.35879493
