alpha,beta,gamma,fundamental,msf,SCI,amplitud
-0.05,-1.135,10000.0,1777.10691824,2751.92262189,1.54854082984,3687.3629469
-0.05,-1.13,10000.0,1777.10691824,2733.90180224,1.5384002921700002,3681.54449199
-0.05,-1.125,10000.0,1777.10691824,2517.51219772,1.41663519053,3664.65904541
-0.05,-1.12,10000.0,1721.57232704,2260.15943001,1.31284605039,3655.53767628
-0.05,-1.115,10000.0,1721.57232704,2190.18843372,1.27220239273,3641.03446861
-0.05,-1.11,10000.0,1721.57232704,2311.64895781,1.34275448176,3638.2679061
-0.05,-1.105,10000.0,1721.57232704,2378.25237654,1.3814420336500002,3625.10071888
-0.05,-1.1,10000.0,1721.57232704,2400.70266771,1.39448260755,3616.40347503
-0.05,-1.095,10000.0,1721.57232704,2488.1666891,1.44528733996,3616.73814904
-0.05,-1.09,10000.0,1721.57232704,2557.47733859,1.4855474257,3611.29625845
-0.05,-1.085,10000.0,1721.57232704,2547.92053048,1.47999621651,3601.25914033
-0.05,-1.08,10000.0,1721.57232704,2417.60257156,1.40429915931,3579.29673833
-0.05,-1.075,10000.0,1721.57232704,2282.84486655,1.32602321186,3561.00684699
-0.05,-1.07,10000.0,1721.57232704,2471.30185819,1.4354911608200005,3574.72550558
-0.05,-1.065,10000.0,1721.57232704,2705.01200782,1.5712450562399998,3555.24647091
-0.05,-1.06,10000.0,1721.57232704,2771.77250079,1.61002384695,3538.46174284
-0.05,-1.055,10000.0,1721.57232704,2597.40141968,1.50873790132,3500.59622988
-0.05,-1.05,10000.0,1721.57232704,2305.61342117,1.33924865366,3524.62243139
-0.05,-1.045,10000.0,1666.03773585,2117.53553295,1.2710009427700002,3510.70304131
-0.05,-1.04,10000.0,1666.03773585,2230.59809553,1.33886408905,3509.84792279
-0.05,-1.035,10000.0,1666.03773585,2309.97715737,1.38650950556,3499.26701964
-0.05,-1.03,10000.0,1666.03773585,2329.72374726,1.3983619321,3474.39590294
-0.05,-1.025,10000.0,1666.03773585,2374.09456344,1.42499447183,3470.75060057
-0.05,-1.02,10000.0,1666.03773585,2458.73327839,1.4757968715099998,3453.0943875
-0.05,-1.015,10000.0,1666.03773585,2491.07015001,1.4952063188100002,3444.12271794
-0.05,-1.01,10000.0,1666.03773585,2403.58052381,1.44269272664,3432.0253100999994
-0.05,-1.005,10000.0,1666.03773585,2254.32990467,1.3531085498,3432.02816176
-0.05,-1.0,10000.0,1666.03773585,2442.21777362,1.46588382788,3411.2836673
-0.05,-0.995,10000.0,1666.03773585,2709.66034556,1.62640994694,3395.61068128
-0.05,-0.99,10000.0,1666.03773585,2770.45733166,1.66290190915,3386.46878407
-0.05,-0.985,10000.0,1666.03773585,2561.3894466,1.53741382412,3381.55089769
-0.05,-0.98,10000.0,1666.03773585,2238.55310474,1.34363889639,3353.6526242
-0.05,-0.975,10000.0,1666.03773585,2065.36711184,1.23968807392,3338.8251068000004
-0.05,-0.97,10000.0,1610.50314465,2199.94551989,1.36599889742,3326.27097687
-0.05,-0.965,10000.0,1610.50314465,2259.53663442,1.4030004486,3337.38547974
-0.05,-0.96,10000.0,1610.50314465,2265.38725954,1.40663324196,3319.26216343
-0.05,-0.955,10000.0,1610.50314465,2296.87704163,1.42618600234,3303.48861557
-0.05,-0.95,10000.0,1610.50314465,2379.07983471,1.47722768664,3293.12555704
-0.05,-0.945,10000.0,1610.50314465,2404.30830756,1.49289265007,3288.95170192
-0.05,-0.94,10000.0,1610.50314465,2289.13626869,1.4213795709,3266.81962257
-0.05,-0.935,10000.0,1610.50314465,2238.45431859,1.3899099334399998,3256.61865924
-0.05,-0.93,10000.0,1610.50314465,2539.64382731,1.5769257177399998,3251.73824947
-0.05,-0.925,10000.0,1610.50314465,2775.65736975,1.72347218257,3246.50793195
-0.05,-0.92,10000.0,1610.50314465,2683.31862594,1.66613684353,3228.89045117
-0.05,-0.915,10000.0,1610.50314465,2365.41525498,1.46874302161,3213.46081126
-0.05,-0.91,10000.0,1610.50314465,2044.20536774,1.2692961044700002,3204.66576977
-0.05,-0.905,10000.0,1610.50314465,2112.36630227,1.3116188622700002,3205.43889646
-0.05,-0.9,10000.0,1554.96855346,2209.57432671,1.4209768562799998,3190.95351202
-0.05,-0.895,10000.0,1554.96855346,2206.89160442,1.41925159805,3175.4449384
-0.05,-0.89,10000.0,1554.96855346,2196.0759457,1.41229604985,3158.64948132
-0.05,-0.885,10000.0,1554.96855346,2265.85991066,1.4571741053100002,3157.96124335
-0.05,-0.88,10000.0,1554.96855346,2313.12414546,1.48756972629,3138.18168143
-0.05,-0.875,10000.0,1554.96855346,2252.43896796,1.44854309944,3133.35779996
-0.05,-0.87,10000.0,1554.96855346,2127.53829794,1.3682195007799998,3137.16812394
-0.05,-0.865,10000.0,1554.96855346,2439.10891496,1.56859050914,3129.46227515
-0.05,-0.86,10000.0,1554.96855346,2743.52009745,1.76435728642,3113.21434937
-0.05,-0.855,10000.0,1554.96855346,2680.59901457,1.7238927492200002,3117.5070295
-0.05,-0.85,10000.0,1554.96855346,2344.38234829,1.50767187097,3107.24235133
-0.05,-0.845,10000.0,1554.96855346,2010.93776894,1.2932337213299998,3109.26592222
-0.05,-0.84,10000.0,1554.96855346,2110.53080026,1.3572819820500002,3101.98448796
-0.05,-0.835,10000.0,1554.96855346,2189.60781625,1.40813639695,3102.20650697
-0.05,-0.83,10000.0,1499.43396226,2181.86658464,1.45512682755,3094.42157203
-0.05,-0.825,10000.0,1499.43396226,2138.83109714,1.42642567193,3088.23292804
-0.05,-0.82,10000.0,1499.43396226,2192.36118731,1.4621258704799998,3082.37414668
-0.05,-0.815,10000.0,1499.43396226,2227.40953688,1.48550025739,3071.91690411
-0.05,-0.81,10000.0,1499.43396226,2138.01410108,1.4258808022799998,3073.13819487
-0.05,-0.805,10000.0,1499.43396226,2098.52790481,1.39954673405,3063.78197912
-0.05,-0.8,10000.0,1499.43396226,2499.00661133,1.66663332579,3067.03742135
-0.05,-0.795,10000.0,1499.43396226,2730.22134006,1.82083466746,3049.49728511
-0.05,-0.79,10000.0,1499.43396226,2531.86567759,1.68854763951,3060.27578991
-0.05,-0.785,10000.0,1499.43396226,2124.76684797,1.41704596631,3049.23825034
-0.05,-0.78,10000.0,1499.43396226,2051.87478661,1.36843291419,3046.19839812
-0.05,-0.775,10000.0,1499.43396226,2174.66779505,1.4503258228,3044.6019049
-0.05,-0.77,10000.0,1499.43396226,2194.05248621,1.46325382873,3039.99487208
-0.05,-0.765,10000.0,1443.89937107,2133.39193585,1.47752120306,3030.79943783
-0.05,-0.76,10000.0,1443.89937107,2106.45049918,1.4588623981600002,3033.71307505
-0.05,-0.755,10000.0,1443.89937107,2141.74923068,1.4833092067200002,3023.84449818
-0.05,-0.75,10000.0,1443.89937107,2103.62465329,1.45690530479,3019.8922765
-0.05,-0.745,10000.0,1443.89937107,1996.7274707,1.38287162576,3013.65626139
-0.05,-0.74,10000.0,1443.89937107,2359.08447908,1.6338288708700002,3005.10564928
-0.05,-0.735,10000.0,1443.89937107,2667.24546112,1.8472516260900005,2994.71902126
-0.05,-0.73,10000.0,1443.89937107,2520.14285936,1.74537291854,2990.81383202
-0.05,-0.725,10000.0,1443.89937107,2120.28573815,1.46844425632,2990.06648923
-0.05,-0.72,10000.0,1443.89937107,2091.68022535,1.4486329638,2980.59187083
-0.05,-0.715,10000.0,1443.89937107,2205.42456527,1.52740877201,2967.7051942
-0.05,-0.71,10000.0,1443.89937107,2206.03722052,1.52783307807,2969.9940552
-0.05,-0.705,10000.0,1443.89937107,2125.77303499,1.47224458822,2963.38534406
-0.05,-0.7,10000.0,1388.36477987,2069.20668542,1.4903912252899998,2964.27450776
-0.05,-0.695,10000.0,1388.36477987,2077.43135586,1.49631522347,2966.91857062
-0.05,-0.69,10000.0,1388.36477987,2010.99946256,1.4484662040600005,2956.57445213
-0.05,-0.685,10000.0,1388.36477987,2011.49401159,1.44882241378,2944.642547
-0.05,-0.68,10000.0,1388.36477987,2426.83747448,1.7479825977,2938.55550743
-0.05,-0.675,10000.0,1388.36477987,2598.55150884,1.87166337443,2933.78042344
-0.05,-0.67,10000.0,1388.36477987,2308.31819648,1.6626165039200005,2923.16264456
-0.05,-0.665,10000.0,1388.36477987,2084.16173154,1.50116292329,2911.52933031
-0.05,-0.66,10000.0,1388.36477987,2203.82087282,1.5873500284399995,2920.77419028
-0.05,-0.655,10000.0,1388.36477987,2233.30227131,1.6085846484200002,2908.7129199
-0.05,-0.65,10000.0,1388.36477987,2160.32322624,1.55601990021,2901.28710851
-0.05,-0.645,10000.0,1388.36477987,2055.16363139,1.48027640947,2893.4782706
-0.05,-0.64,10000.0,1332.83018868,2024.99439142,1.51931912154,2891.69195165
-0.05,-0.635,10000.0,1332.83018868,1964.23118583,1.4737295137200002,2883.90343421
-0.05,-0.63,10000.0,1332.83018868,1905.92711823,1.4299849556400002,2885.65806423
-0.05,-0.625,10000.0,1332.83018868,2309.32716889,1.73264920655,2867.87355174
-0.05,-0.62,10000.0,1332.83018868,2529.60818211,1.89792233369,2869.64865668
-0.05,-0.615,10000.0,1332.83018868,2257.16212494,1.69351065433,2854.25182672
-0.05,-0.61,10000.0,1332.83018868,2088.06370211,1.5666389611000002,2851.58146029
-0.05,-0.605,10000.0,1332.83018868,2232.02933227,1.67465394409,2853.81284189
-0.05,-0.6,10000.0,1332.83018868,2236.49408911,1.67800377581,2844.11611042
-0.05,-0.595,10000.0,1332.83018868,2116.12457712,1.58769256211,2831.37880283
-0.05,-0.59,10000.0,1332.83018868,1985.36094727,1.48958281718,2821.13262588
-0.05,-0.585,10000.0,1277.29559748,1943.28836765,1.52140849109,2819.08165759
-0.05,-0.58,10000.0,1277.29559748,1840.0046171,1.44054721611,2822.82748328
-0.05,-0.575,10000.0,1277.29559748,1976.85274579,1.5476861813999998,2804.05461941
-0.05,-0.57,10000.0,1277.29559748,2393.80147726,1.87411706576,2800.43199445
-0.05,-0.565,10000.0,1277.29559748,2366.58683153,1.85281060718,2785.97886334
-0.05,-0.56,10000.0,1277.29559748,1993.56999352,1.56077418371,2786.18450371
-0.05,-0.555,10000.0,1277.29559748,2166.5912145,1.6962332124,2779.7000166
-0.05,-0.55,10000.0,1277.29559748,2235.34242262,1.7500588172599998,2769.87469983
-0.05,-0.545,10000.0,1277.29559748,2118.22179163,1.65836459141,2755.93920513
-0.05,-0.54,10000.0,1277.29559748,1954.4728439,1.53016486375,2750.34784374
-0.05,-0.535,10000.0,1277.29559748,1871.13308037,1.46491781859,2743.70339254
-0.05,-0.53,10000.0,1221.76100629,1771.49527142,1.44995237391,2735.90821326
-0.05,-0.525,10000.0,1221.76100629,1914.03849019,1.56662267034,2728.37066693
-0.05,-0.52,10000.0,1221.76100629,2346.9588224,1.92096392856,2715.07893547
-0.05,-0.515,10000.0,1221.76100629,2261.38385534,1.85092161536,2716.00479641
-0.05,-0.51,10000.0,1221.76100629,1934.15446913,1.58308741167,2700.23558424
-0.05,-0.505,10000.0,1221.76100629,2172.31626882,1.77802062567,2692.48676274
-0.05,-1.5,17500.0,3498.67924528,3561.17066637,1.0178614319,15590.25475
-0.05,-1.495,17500.0,3498.67924528,3775.49136052,1.07911903202,15512.933016799998
-0.05,-1.49,17500.0,3498.67924528,3862.11653797,1.10387842589,15498.9426171
-0.05,-1.485,17500.0,3498.67924528,3678.68785723,1.05145044725,15506.0286013
-0.05,-1.48,17500.0,3498.67924528,3490.42576831,0.997640973523,15456.6044197
-0.05,-1.475,17500.0,3443.14465409,3625.55433017,1.05297763946,15455.9759834
-0.05,-1.47,17500.0,3443.14465409,3871.60627597,1.1244390419,15390.691288499998
-0.05,-1.465,17500.0,3443.14465409,3874.25599997,1.12520860701,15343.19817
-0.05,-1.46,17500.0,3443.14465409,3641.36075211,1.057568333,15303.9381752
-0.05,-1.455,17500.0,3443.14465409,3507.29669523,1.01863181701,15266.370298299998
-0.05,-1.45,17500.0,3443.14465409,3691.47063289,1.0721218548,15252.0204589
-0.05,-1.445,17500.0,3443.14465409,3858.01249059,1.12049096921,15165.3654151
-0.05,-1.44,17500.0,3443.14465409,3735.86314896,1.0850148699200002,15132.1649562
-0.05,-1.435,17500.0,3443.14465409,3485.43290817,1.01228186972,15138.420807700002
-0.05,-1.43,17500.0,3443.14465409,3465.77787267,1.00657341496,15063.8335343
-0.05,-1.425,17500.0,3387.61006289,3704.24262336,1.0934678297,14991.656887
-0.05,-1.42,17500.0,3387.61006289,3841.27787654,1.13391972666,14930.3886639
-0.05,-1.415,17500.0,3387.61006289,3676.76259823,1.08535590873,14867.970702399998
-0.05,-1.41,17500.0,3387.61006289,3493.49981874,1.03125795292,14717.1151625
-0.05,-1.405,17500.0,3387.61006289,3632.85183191,1.07239374204,14823.501517899998
-0.05,-1.4,17500.0,3387.61006289,3847.14878488,1.13565277982,14764.2902519
-0.05,-1.395,17500.0,3387.61006289,3775.0066108,1.11435688899,14743.0301211
-0.05,-1.39,17500.0,3387.61006289,3491.84300424,1.03076887228,14669.5470812
-0.05,-1.385,17500.0,3387.61006289,3363.49600795,0.992881691075,14668.599783500002
-0.05,-1.38,17500.0,3387.61006289,3577.62931627,1.05609242205,14612.123308899998
-0.05,-1.375,17500.0,3332.0754716999995,3755.39260172,1.12704307979,14566.2060723
-0.05,-1.37,17500.0,3332.0754716999995,3657.47481038,1.09765665317,14522.6524711
-0.05,-1.365,17500.0,3332.0754716999995,3469.59629564,1.04127182146,14442.8555854
-0.05,-1.36,17500.0,3332.0754716999995,3588.3875598000004,1.07692265385,14400.3582662
-0.05,-1.355,17500.0,3332.0754716999995,3839.47094637,1.15227610508,14350.904184600002
-0.05,-1.35,17500.0,3332.0754716999995,3786.41826184,1.1363542914899998,14296.0302602
-0.05,-1.345,17500.0,3332.0754716999995,3475.88245847,1.04315838221,14278.075801299998
-0.05,-1.34,17500.0,3332.0754716999995,3297.30523363,0.98956499084,14185.0487282
-0.05,-1.335,17500.0,3332.0754716999995,3497.19009747,1.04955308701,14147.241540399997
-0.05,-1.33,17500.0,3276.5408805,3671.54912963,1.12055648427,14080.4317394
-0.05,-1.325,17500.0,3276.5408805,3597.76297412,1.0980369558399998,14048.989775100004
-0.05,-1.32,17500.0,3276.5408805,3415.23818546,1.04233040576,13949.9164363
-0.05,-1.315,17500.0,3276.5408805,3548.95544234,1.08314090127,13947.1621167
-0.05,-1.31,17500.0,3276.5408805,3827.06847414,1.16802097508,13890.6227243
-0.05,-1.305,17500.0,3276.5408805,3753.69171481,1.14562639433,13828.2277269
-0.05,-1.3,17500.0,3276.5408805,3423.65998695,1.04490073886,13757.516658
-0.05,-1.295,17500.0,3276.5408805,3261.49677007,0.995408538766,13689.6803844
-0.05,-1.29,17500.0,3276.5408805,3469.00992258,1.0587415353899998,13660.2163753
-0.05,-1.285,17500.0,3276.5408805,3615.50221478,1.10345097059,13584.3624981
-0.05,-1.28,17500.0,3221.00628931,3514.34108621,1.0910693027399998,13546.7165255
-0.05,-1.275,17500.0,3221.00628931,3339.31508659,1.0367303838200002,13493.407255200002
-0.05,-1.27,17500.0,3221.00628931,3521.75363601,1.09337061765,13434.5338801
-0.05,-1.265,17500.0,3221.00628931,3808.16969206,1.18229191439,13367.3807208
-0.05,-1.26,17500.0,3221.00628931,3667.13442563,1.1385058259,13309.8854202
-0.05,-1.255,17500.0,3221.00628931,3333.63531533,1.03496703077,13265.779257200002
-0.05,-1.25,17500.0,3221.00628931,3280.77360617,1.01855547971,13226.4402815
-0.05,-1.245,17500.0,3221.00628931,3495.60682496,1.08525302685,13177.3675221
-0.05,-1.24,17500.0,3221.00628931,3577.90093935,1.11080222079,13077.7142517
-0.05,-1.235,17500.0,3165.47169811,3404.80676806,1.0756080271,13057.2484481
-0.05,-1.23,17500.0,3165.47169811,3268.10337391,1.03242223769,12993.032838299998
-0.05,-1.225,17500.0,3165.47169811,3526.89712464,1.11417743104,12951.0992965
-0.05,-1.22,17500.0,3165.47169811,3742.45883719,1.18227524808,12875.773477
-0.05,-1.215,17500.0,3165.47169811,3522.75000607,1.11286732027,12822.6117721
-0.05,-1.21,17500.0,3165.47169811,3255.4099657,1.0284122798,12755.2472276
-0.05,-1.205,17500.0,3165.47169811,3375.54147047,1.06636286544,12530.2322635
-0.05,-1.2,17500.0,3165.47169811,3559.15774502,1.12436884119,12650.8055365
-0.05,-1.195,17500.0,3165.47169811,3500.04579168,1.10569486177,12587.0854001
-0.05,-1.19,17500.0,3165.47169811,3264.01215085,1.03112978479,12530.587896100002
-0.05,-1.185,17500.0,3109.93710692,3267.34818942,1.05061551957,12471.657539299998
-0.05,-1.18,17500.0,3109.93710692,3561.43991795,1.14518068871,12409.5545684
-0.05,-1.175,17500.0,3109.93710692,3603.13118958,1.15858651339,12364.460909799998
-0.05,-1.17,17500.0,3109.93710692,3343.08029712,1.07496717206,12322.4004156
-0.05,-1.165,17500.0,3109.93710692,3305.7167971,1.06295294196,12249.9141588
-0.05,-1.16,17500.0,3109.93710692,3522.96369596,1.13280866296,12205.3256081
-0.05,-1.155,17500.0,3109.93710692,3578.06930366,1.15052786621,12142.852297299998
-0.05,-1.15,17500.0,3109.93710692,3330.63746234,1.07096617965,12089.4068447
-0.05,-1.145,17500.0,3109.93710692,3133.16804453,1.00746990592,12036.3002678
-0.05,-1.14,17500.0,3054.40251572,3356.29906394,1.09883980473,11952.6270001
-0.05,-1.135,17500.0,3054.40251572,3555.47713423,1.16404996261,11899.441764799998
-0.05,-1.13,17500.0,3054.40251572,3394.32711977,1.11129004848,11872.8374538
-0.05,-1.125,17500.0,3054.40251572,3262.33640798,1.06807678136,11816.7998555
-0.05,-1.12,17500.0,3054.40251572,3471.50132184,1.13655659461,11744.3607831
-0.05,-1.115,17500.0,3054.40251572,3633.15527477,1.1894814963200002,11654.419819600002
-0.05,-1.11,17500.0,3054.40251572,3391.41881693,1.11033788097,11623.1026909
-0.05,-1.105,17500.0,3054.40251572,3102.12824812,1.01562522691,11575.0997131
-0.05,-1.1,17500.0,3054.40251572,3209.52707888,1.05078720383,11521.4785431
-0.05,-1.095,17500.0,2998.86792453,3440.98139868,1.1474267908,11471.2181405
-0.05,-1.09,17500.0,2998.86792453,3377.73497126,1.1263366898,11397.6503917
-0.05,-1.085,17500.0,2998.86792453,3198.81733984,1.06667496547,11356.1852505
-0.05,-1.08,17500.0,2998.86792453,3403.31736791,1.1348673744700002,11313.4223744
-0.05,-1.075,17500.0,2998.86792453,3639.5460806,1.21364000423,11255.9182922
-0.05,-1.07,17500.0,2998.86792453,3418.59439373,1.13996163878,11193.2910309
-0.05,-1.065,17500.0,2998.86792453,3075.29489944,1.02548527539,11133.4597433
-0.05,-1.06,17500.0,2998.86792453,3128.79515634,1.0433254264899998,11074.2937114
-0.05,-1.055,17500.0,2943.33333333,3358.77614321,1.14114704752,11030.0033195
-0.05,-1.05,17500.0,2943.33333333,3321.05772597,1.12833218323,10992.828774
-0.05,-1.045,17500.0,2943.33333333,3124.2386885,1.06146274808,10942.4587745
-0.05,-1.04,17500.0,2943.33333333,3322.67898502,1.12888300737,10873.574761299997
-0.05,-1.035,17500.0,2943.33333333,3597.40568515,1.22222163709,10787.0663029
-0.05,-1.03,17500.0,2943.33333333,3397.15893332,1.15418763307,10768.0248843
-0.05,-1.025,17500.0,2943.33333333,3028.60201341,1.02897010648,10722.1410144
-0.05,-1.02,17500.0,2943.33333333,3119.11754779,1.0597228361700002,10668.5614555
-0.05,-1.015,17500.0,2943.33333333,3326.31801752,1.13011937175,10634.3901471
-0.05,-1.01,17500.0,2887.79874214,3244.13529192,1.12339383094,10546.885636399997
-0.05,-1.005,17500.0,2887.79874214,3043.09569276,1.05377692993,10506.011406799998
-0.05,-1.0,17500.0,2887.79874214,3264.93417973,1.1305961638200002,10440.4307708
-0.05,-0.995,17500.0,2887.79874214,3529.32269388,1.22214981341,10398.8390361
-0.05,-0.99,17500.0,2887.79874214,3311.90498932,1.14686142805,10349.2429499
-0.05,-0.985,17500.0,2887.79874214,2990.83978361,1.03568151754,10303.9228771
-0.05,-0.98,17500.0,2887.79874214,3181.19628018,1.1015990255,10253.188114700002
-0.05,-0.975,17500.0,2887.79874214,3323.08574179,1.15073314955,10192.6194116
-0.05,-0.97,17500.0,2832.26415094,3138.62387585,1.10816777976,10140.724964
-0.05,-0.965,17500.0,2832.26415094,2978.9841679,1.05180308373,10096.6103693
-0.05,-0.96,17500.0,2832.26415094,3250.50506868,1.14767016615,10064.0702428
-0.05,-0.955,17500.0,2832.26415094,3441.55153431,1.21512378468,9993.26596893
-0.05,-0.95,17500.0,2832.26415094,3180.91339577,1.12309912715,9941.6440874
-0.05,-0.945,17500.0,2832.26415094,3055.61016934,1.07885776414,9899.33720034
-0.05,-0.94,17500.0,2832.26415094,3299.63001445,1.16501492749,9847.68257446
-0.05,-0.935,17500.0,2832.26415094,3269.36239724,1.15432820634,9804.28615305
-0.05,-0.93,17500.0,2832.26415094,2985.74765216,1.05419109696,9729.91185531
-0.05,-0.925,17500.0,2776.72955975,2982.37488736,1.07406026521,9682.31430141
-0.05,-0.92,17500.0,2776.72955975,3276.38448426,1.1799436761,9631.7948659
-0.05,-0.915,17500.0,2776.72955975,3317.6125692,1.19479138959,9587.99629015
-0.05,-0.91,17500.0,2776.72955975,3050.99839389,1.09877405352,9553.92365007
-0.05,-0.905,17500.0,2776.72955975,3242.00664099,1.16756298056,9512.58193565
