-0.15	-0.282	2688.96	1.46967
-0.15	-0.284	2695.69	1.48595
-0.15	-0.286	2702.42	1.49999
-0.15	-0.288	2708.47	1.51204
-0.15	-0.29	2715.2	1.52134
-0.15	-0.292	2721.93	1.5283
-0.15	-0.294	2728.66	1.53249
-0.15	-0.296	2734.72	1.53502
-0.15	-0.298	2741.45	1.53507
-0.15	-0.3	2748.18	1.53264
-0.15	-0.302	2754.23	1.52904
-0.15	-0.304	2760.96	1.52343
-0.15	-0.306	2767.02	1.51685
-0.15	-0.308	2773.07	1.50947
-0.15	-0.31	2779.8	1.5004
-0.15	-0.312	2785.86	1.49119
-0.15	-0.314	2791.91	1.48148
-0.15	-0.316	2798.64	1.471
-0.15	-0.318	2804.7	1.46085
-0.15	-0.32	2810.76	1.45065
-0.15	-0.322	2816.81	1.43993
-0.15	-0.324	2822.87	1.42967
-0.15	-0.326	2828.92	1.41945
-0.15	-0.328	2834.98	1.40943
-0.15	-0.33	2841.04	1.3996
-0.15	-0.332	2847.09	1.39022
-0.15	-0.334	2853.15	1.3808
-0.15	-0.336	2859.21	1.37184
-0.15	-0.338	2865.26	1.36306
-0.15	-0.34	2871.32	1.35465
-0.15	-0.342	2877.37	1.34651
-0.15	-0.344	2882.76	1.33901
-0.15	-0.346	2888.81	1.33139
-0.15	-0.348	2894.87	1.32415
-0.15	-0.35	2900.25	1.31755
-0.15	-0.352	2906.31	1.3108
-0.15	-0.354	2912.37	1.30435
-0.15	-0.356	2917.75	1.29838
-0.15	-0.358	2923.81	1.29261
-0.15	-0.36	2929.19	1.28729
-0.15	-0.362	2935.24	1.28166
-0.15	-0.364	2940.63	1.27687
-0.15	-0.366	2946.68	1.27169
-0.15	-0.368	2952.07	1.26721
-0.15	-0.37	2957.45	1.26264
-0.15	-0.372	2963.51	1.25802
-0.15	-0.374	2968.89	1.25396
-0.15	-0.376	2974.27	1.25031
-0.15	-0.378	2979.66	1.24645
-0.15	-0.38	2985.71	1.24268
-0.15	-0.382	2991.1	1.23908
-0.15	-0.384	2996.48	1.23578
-0.15	-0.386	3001.86	1.23276
-0.15	-0.388	3007.25	1.22946
-0.15	-0.39	3012.63	1.22664
-0.15	-0.392	3018.01	1.22399
-0.15	-0.394	3023.4	1.22141
-0.15	-0.396	3028.78	1.21868
-0.15	-0.398	3034.16	1.21643
-0.15	-0.4	3039.55	1.21384
-0.15	-0.402	3044.93	1.21167
-0.15	-0.404	3050.31	1.20952
-0.15	-0.406	3055.7	1.2071
