,value
a0,0.226
a1,-0.7999999999999998
a2,0.0
b0,-0.55
b1,1.0
b2,1.6
gm,37000.0
t_ini,3.2281744605379488
t_end,3.257222079585568
NN,256.0
umbral_FF,1.0
