,value
a0,0.15400000000000003
a1,0.40000000000000036
a2,0.0
b0,-0.10000000000000009
b1,1.0
b2,0.0
gm,37000.0
t_ini,2.84732635
t_end,3.027530431632653
NN,512.0
umbral_FF,1.0
