time,alpha,beta
0.0,0.01,1.2938960907171166
2.267806697963471e-05,0.01,1.2933969648649932
4.535613395926942e-05,0.01,1.2928978028037783
6.803420093890413e-05,0.01,1.2923986064302424
9.071226791853884e-05,0.01,1.2918993776342793
0.00011339033489817356,0.01,1.2914001182989114
0.00013606840187780825,0.01,1.2909008303003155
0.00015874646885744297,0.01,1.2904015155078263
0.0001814245358370777,0.01,1.2899021757839633
0.0002041026028167124,0.01,1.289402812984437
0.00022678066979634712,0.01,1.2889034289581642
0.00024945873677598184,0.01,1.2884040255472937
0.0002721368037556165,0.01,1.2879046045872022
0.0002948148707352512,0.01,1.2874051679065284
0.00031749293771488594,0.01,1.286905717327178
0.00034017100469452066,0.01,1.2864062546643389
0.0003628490716741554,0.01,1.2859067817264977
0.0003855271386537901,0.01,1.2854073003154542
0.0004082052056334248,0.01,1.2849078122263387
0.00043088327261305953,0.01,1.2844083192476203
0.00045356133959269425,0.01,1.2839088231611298
0.0004762394065723289,0.01,1.28340932574207
0.0004989174735519637,0.01,1.2829098287590308
0.0005215955405315983,0.01,1.2824103339740054
0.000544273607511233,0.01,1.2819108431424011
0.0005669516744908678,0.01,1.2814113580130604
0.0005896297414705024,0.01,1.2809118803282726
0.0006123078084501372,0.01,1.280412411823785
0.0006349858754297719,0.01,1.2799129542288266
0.0006576639424094067,0.01,1.2794135092661123
0.0006803420093890413,0.01,1.2789140786518645
0.0007030200763686761,0.01,1.278414664095827
0.0007256981433483108,0.01,1.2779152673012775
0.0007483762103279454,0.01,1.2774158899650414
0.0007710542773075802,0.01,1.276916533777512
0.0007937323442872148,0.01,1.2764172004226593
0.0008164104112668496,0.01,1.2759178915780471
0.0008390884782464843,0.01,1.275418608914848
0.0008617665452261191,0.01,1.274919354097857
0.0008844446122057537,0.01,1.2744201287855064
0.0009071226791853885,0.01,1.27392093462988
0.0009298007461650232,0.01,1.273421773276727
0.0009524788131446578,0.01,1.2729226463654801
0.0009751568801242926,0.01,1.2724235555292642
0.0009978349471039274,0.01,1.271924502394917
0.001020513014083562,0.01,1.2714254885829994
0.0010431910810631967,0.01,1.2709265157078118
0.0010658691480428314,0.01,1.270427585377405
0.001088547215022466,0.01,1.2699286991936003
0.001111225282002101,0.01,1.2694298587520028
0.0011339033489817356,0.01,1.2689310656420072
0.0011565814159613702,0.01,1.2684323214468276
0.0011792594829410049,0.01,1.267933627743499
0.0012019375499206398,0.01,1.2674349861028942
0.0012246156169002744,0.01,1.2669363980897432
0.001247293683879909,0.01,1.266437865262644
0.0012699717508595438,0.01,1.2659393891740756
0.0012926498178391784,0.01,1.2654409713704138
0.0013153278848188133,0.01,1.2649426133919475
0.001338005951798448,0.01,1.2644443167728903
0.0013606840187780826,0.01,1.2639460830413949
0.0013833620857577173,0.01,1.2634479137195662
0.0014060401527373522,0.01,1.2629498103234789
0.0014287182197169868,0.01,1.2624517743631913
0.0014513962866966215,0.01,1.2619538073427554
0.0014740743536762562,0.01,1.2614559107602363
0.0014967524206558908,0.01,1.26095808610772
0.0015194304876355257,0.01,1.260460334871337
0.0015421085546151604,0.01,1.2599626585312653
0.001564786621594795,0.01,1.2594650585617517
0.0015874646885744297,0.01,1.2589675364311244
0.0016101427555540646,0.01,1.2584700936018078
0.0016328208225336992,0.01,1.2579727315303335
0.001655498889513334,0.01,1.257475451667357
0.0016781769564929686,0.01,1.256978255457672
0.0017008550234726032,0.01,1.2564811443402224
0.0017235330904522381,0.01,1.2559841197481163
0.0017462111574318728,0.01,1.2554871831086416
0.0017688892244115074,0.01,1.2549903358432801
0.001791567291391142,0.01,1.254493579367721
0.001814245358370777,0.01,1.2539969150918706
0.0018369234253504116,0.01,1.253500344419874
0.0018596014923300463,0.01,1.2530038687501237
0.001882279559309681,0.01,1.2525074894752724
0.0019049576262893156,0.01,1.2520112079822527
0.0019276356932689505,0.01,1.2515150256522845
0.0019503137602485852,0.01,1.2510189438608927
0.00197299182722822,0.01,1.250522963977919
0.0019956698942078547,0.01,1.250027087367539
0.002018347961187489,0.01,1.249531315388269
0.002041026028167124,0.01,1.2490356493929866
0.0020637040951467585,0.01,1.2485400907289443
0.0020863821621263934,0.01,1.248044640737776
0.0021090602291060283,0.01,1.2475493007555185
0.0021317382960856627,0.01,1.247054072112622
0.0021544163630652976,0.01,1.2465589561339625
0.002177094430044932,0.01,1.246063954138859
0.002199772497024567,0.01,1.245569067441082
0.002222450564004202,0.01,1.2450742973488729
0.0022451286309838362,0.01,1.2445796451649522
0.002267806697963471,0.01,1.2440851121865362
0.002290484764943106,0.01,1.2435906997053503
0.0023131628319227404,0.01,1.2430964090076426
0.0023358408989023753,0.01,1.242602241374195
0.0023585189658820098,0.01,1.2421081980803383
0.0023811970328616447,0.01,1.2416142803959698
0.0024038750998412795,0.01,1.2411204895855565
0.002426553166820914,0.01,1.2406268269081588
0.002449231233800549,0.01,1.24013329361744
0.0024719093007801833,0.01,1.2396398909616768
0.002494587367759818,0.01,1.2391466201837775
0.002517265434739453,0.01,1.238653482521293
0.0025399435017190875,0.01,1.2381604792064298
0.0025626215686987224,0.01,1.2376676114660632
0.002585299635678357,0.01,1.2371748805217522
0.0026079777026579917,0.01,1.2366822875897527
0.0026306557696376266,0.01,1.2361898338810273
0.002653333836617261,0.01,1.2356975206012621
0.002676011903596896,0.01,1.235205348950878
0.002698689970576531,0.01,1.2347133201250489
0.0027213680375561653,0.01,1.2342214353137058
0.0027440461045358,0.01,1.2337296957015553
0.0027667241715154346,0.01,1.233238102468094
0.0027894022384950695,0.01,1.2327466567876195
