,value
a0,0.106
a1,0.0
a2,0.0
b0,-0.10000000000000009
b1,1.0
b2,0.0
gm,37000.0
t_ini,1.1804766958255377
t_end,1.717029983807397
NN,1024.0
umbral_FF,1.0
