,value
a0,0.15400000000000003
a1,0.0
a2,0.0
b0,-0.4
b1,1.0
b2,1.6
gm,37000.0
t_ini,9.609178578087013
t_end,10.055663838857988
NN,512.0
umbral_FF,1.0
