,value
a0,0.082
a1,0.0
a2,0.0
b0,-0.10000000000000009
b1,1.0
b2,0.4
gm,37000.0
t_ini,5.217005470859378
t_end,5.758683475394525
NN,1024.0
umbral_FF,1.0
