,value
a0,0.15400000000000003
a1,0.0
a2,0.0
b0,-0.4
b1,1.0
b2,1.4000000000000001
gm,37000.0
t_ini,0.7856996960241109
t_end,1.0900987889946325
NN,512.0
umbral_FF,1.0
