,value
a0,0.17800000000000002
a1,-0.3999999999999999
a2,0.0
b0,-0.10000000000000009
b1,1.0
b2,0.2
gm,37000.0
t_ini,9.345596937381988
t_end,9.573556121055457
NN,512.0
umbral_FF,1.0
