,time,alpha,beta
0,0.0,0.13,0.36185700679154076
1,2.2680253140889896e-05,0.13,0.36261856989717955
2,4.536050628177979e-05,0.13,0.36337559368114064
3,6.80407594226697e-05,0.13,0.36412809623174613
4,9.072101256355958e-05,0.13,0.3648760956234081
5,0.00011340126570444947,0.13,0.36561960991603615
6,0.0001360815188453394,0.13,0.36635865715445703
7,0.00015876177198622928,0.13,0.367093255367837
8,0.00018144202512711916,0.13,0.36782342256911527
9,0.00020412227826800905,0.13,0.3685491767544403
10,0.00022680253140889894,0.13,0.36927053590261816
11,0.00024948278454978883,0.13,0.3699875179745682
12,0.0002721630376906788,0.13,0.37070014091278025
13,0.00029484329083156866,0.13,0.3714084226407824
14,0.00031752354397245855,0.13,0.3721123810626216
15,0.00034020379711334844,0.13,0.3728120340623393
16,0.00036288405025423833,0.13,0.3735073995034621
17,0.0003855643033951282,0.13,0.37419849522850135
18,0.0004082445565360181,0.13,0.3748853390584502
19,0.000430924809676908,0.13,0.3755679487922964
20,0.0004536050628177979,0.13,0.3762463422065373
21,0.0004762853159586878,0.13,0.3769205370547024
22,0.0004989655690995777,0.13,0.3775905510668848
23,0.0005216458222404676,0.13,0.37825640194927146
24,0.0005443260753813575,0.13,0.378918107383691
25,0.0005670063285222474,0.13,0.37957568502716005
26,0.0005896865816631373,0.13,0.38022915251143713
27,0.0006123668348040272,0.13,0.3808785274425862
28,0.0006350470879449171,0.13,0.3815238274005408
29,0.0006577273410858069,0.13,0.3821650699386796
30,0.0006804075942266969,0.13,0.3828022725834076
31,0.0007030878473675867,0.13,0.38343545283373776
32,0.0007257681005084767,0.13,0.38406462816088605
33,0.0007484483536493666,0.13,0.38468981600786767
34,0.0007711286067902564,0.13,0.38531103378909953
35,0.0007938088599311464,0.13,0.3859282988900114
36,0.0008164891130720362,0.13,0.38654162866666164
37,0.0008391693662129262,0.13,0.3871510404453534
38,0.000861849619353816,0.13,0.3877565515222666
39,0.0008845298724947059,0.13,0.3883581791630877
40,0.0009072101256355958,0.13,0.3889559406026451
41,0.0009298903787764857,0.13,0.38954985304455675
42,0.0009525706319173757,0.13,0.39013993366087496
43,0.0009752508850582655,0.13,0.3907261995917428
44,0.0009979311381991553,0.13,0.3913086679450507
45,0.0010206113913400453,0.13,0.3918873557961062
