,value
a0,0.13
a1,0.40000000000000036
a2,0.0
b0,-0.55
b1,1.0
b2,2.0
gm,37000.0
t_ini,3.8594452380262845
t_end,3.905136848003609
NN,256.0
umbral_FF,1.0
