,time,alpha,beta
0,0.0,0.13,1.2584539027641903
1,2.2677263433141684e-05,0.13,1.258281613067882
2,4.535452686628337e-05,0.13,1.2581093205008842
3,6.803179029942505e-05,0.13,1.2579370248784634
4,9.070905373256674e-05,0.13,1.2577647260164464
5,0.00011338631716570843,0.13,1.2575924237312246
6,0.0001360635805988501,0.13,1.2574201178397484
7,0.0001587408440319918,0.13,1.2572478081595313
8,0.00018141810746513348,0.13,1.2570754945086462
9,0.00020409537089827515,0.13,1.2569031767057242
10,0.00022677263433141685,0.13,1.2567308545699547
11,0.00024944989776455855,0.13,1.256558527921084
12,0.0002721271611977002,0.13,1.2563861965794156
13,0.0002948044246308419,0.13,1.256213860365806
14,0.0003174816880639836,0.13,1.2560415191016703
15,0.00034015895149712525,0.13,1.2558691726089728
16,0.00036283621493026695,0.13,1.2556968207102333
17,0.00038551347836340865,0.13,1.255524463228523
18,0.0004081907417965503,0.13,1.2553520999874634
19,0.000430868005229692,0.13,1.2551797308112267
20,0.0004535452686628337,0.13,1.2550073555245336
21,0.00047622253209597535,0.13,1.2548349739526539
22,0.0004988997955291171,0.13,1.2546625859214053
23,0.0005215770589622588,0.13,1.2544901912571498
24,0.0005442543223954004,0.13,1.2543177897867994
25,0.0005669315858285422,0.13,1.2541453813378065
26,0.0005896088492616838,0.13,1.253972965738169
27,0.0006122861126948254,0.13,1.2538005428164292
28,0.0006349633761279672,0.13,1.2536281124016704
29,0.0006576406395611089,0.13,1.253455674323517
30,0.0006803179029942505,0.13,1.2532832284121365
31,0.0007029951664273923,0.13,1.2531107744982324
32,0.0007256724298605339,0.13,1.252938312413049
33,0.0007483496932936755,0.13,1.252765841988369
34,0.0007710269567268173,0.13,1.252593363056511
35,0.000793704220159959,0.13,1.2524208754503299
36,0.0008163814835931006,0.13,1.2522483790032162
37,0.0008390587470262424,0.13,1.2520758735490958
38,0.000861736010459384,0.13,1.2519033589224264
39,0.0008844132738925256,0.13,1.2517308349582015
40,0.0009070905373256674,0.13,1.2515583014919431
41,0.000929767800758809,0.13,1.2513857583597048
42,0.0009524450641919507,0.13,1.2512132053980736
43,0.0009751223276250925,0.13,1.2510406424441616
44,0.0009977995910582342,0.13,1.250868069335613
45,0.0010204768544913759,0.13,1.2506954859105974
46,0.0010431541179245175,0.13,1.250522892007812
47,0.0010658313813576592,0.13,1.25035028746648
48,0.0010885086447908008,0.13,1.25017767212635
49,0.0011111859082239424,0.13,1.250005045827693
50,0.0011338631716570843,0.13,1.2498324084113066
51,0.001156540435090226,0.13,1.2496597597185084
52,0.0011792176985233676,0.13,1.2494870995911396
53,0.0012018949619565092,0.13,1.24931442787156
54,0.001224572225389651,0.13,1.2491417444026525
55,0.0012472494888227925,0.13,1.2489690490278162
56,0.0012699267522559344,0.13,1.2487963415909697
57,0.001292604015689076,0.13,1.248623621936551
58,0.0013152812791222177,0.13,1.2484508899095115
59,0.0013379585425553593,0.13,1.2482781453553211
60,0.001360635805988501,0.13,1.2481053881199622
61,0.0013833130694216426,0.13,1.2479326180499348
62,0.0014059903328547845,0.13,1.2477598349922494
63,0.0014286675962879262,0.13,1.2475870387944308
64,0.0014513448597210678,0.13,1.2474142293045132
